"place","longtitude","lattitude","count","region"
"網走監獄博物館","43.99569750000001","144.22933","10","北海道"
"層雲峽","43.7251493","142.95241830000003","149","北海道"
"阿寒湖","43.45725849999999","144.1040147","106","北海道"
"千歲空港","42.7925942","141.6704785","88","北海道"
"鄂霍次克海","44.355883","143.357031","45","北海道"
"宗谷海峽","45.5671101","141.91084809999998","7","北海道"
"庫頁島","50.6909848","142.9505689","26","北海道"
"金森倉庫群","41.7664529","140.7170603","83","北海道"
"函館山","41.7591885","140.7040461","258","北海道"
"洞爺湖","42.625499","140.8433144","179","北海道"
"五稜郭","41.7971839","140.75683069999997","143","北海道"
"狸小路","43.0573708","141.3537649","235","北海道"
"北海道神宮","43.0542729","141.3076588","116","北海道"
"石狩川","43.5101088","142.0648573","13","北海道"
"屈斜路湖","43.603842","144.3254063","58","北海道"
"摩周湖","43.580410799999996","144.5334891","73","北海道"
"網走湖","43.9643113","144.17639730000002","20","北海道"
"佐呂間湖","44.1312174","143.80247690000002","6","北海道"
"能取湖","44.0593087","144.151037","8","北海道"
"松前城","41.429875","140.108449","13","北海道"
"羊之丘展望台","42.999047999999995","141.394507","29","北海道"
"熊牧場","42.4903155","141.15909209999998","68","北海道"
"舊道廳","43.063942100000006","141.3479939","55","北海道"
"昭和新山","42.533333299999995","140.8666667","49","北海道"
"登別地獄谷","42.497623100000006","141.14866030000002","41","北海道"
"函館空港","41.775704299999994","140.81582219999999","23","北海道"
"五稜郭公園","41.7971839","140.75683069999997","66","北海道"
"支笏","42.757023499999995","141.32457140000002","21","北海道"
"旭山動物園","43.768425","142.48008000000002","167","北海道"
"利尻島","45.200423799999996","141.222042","25","北海道"
"時計台","43.062562","141.35365","127","北海道"
"札幌電視塔","43.061105","141.35643230000002","58","北海道"
"幣舞橋","42.981181","144.38552980000003","20","北海道"
"然別湖","43.27226870000001","143.1181803","17","北海道"
"支笏湖","42.757023499999995","141.32457140000002","43","北海道"
"青函隧道","41.177495799999996","140.4595863","26","北海道"
"帶廣神社","42.930777","143.20934","3","北海道"
"十勝川","42.9328644","143.2969324","26","北海道"
"明治館","41.7665523","140.7187841","33","北海道"
"伊達時代村","42.463613099999996","141.1598655","40","北海道"
"知床國立公園","44.3200338","145.33988369999997","5","北海道"
"洞爺湖展望台","42.625816","140.799851","9","北海道"
"昆布館","41.9242619","140.6573638","8","北海道"
"北一哨子館","43.19203479999999","141.0069099","11","北海道"
"小樽水族館","43.2369305","141.01191430000003","7","北海道"
"橫丁市場","41.772731","140.72557719999998","7","北海道"
"禮文島","45.3922768","141.01503630000002","22","北海道"
"上川神社","43.75230429999999","142.3647392","1","北海道"
"八食中心","40.5264794","141.4527773","11","東北"
"新青森","40.8284185","140.6935698","132","東北"
"八戶","40.5122839","141.4883986","111","東北"
"津輕","41.6323638","140.6910465","86","東北"
"新函館北斗","41.90469829999999","140.6483763","27","東北"
"白石城","38.0025667","140.6171274","19","東北"
"山寺","38.3109799","140.43540869999998","167","東北"
"仙台城","38.2520916","140.85592749999998","45","東北"
"藏王狐狸村","38.04082929999999","140.5303604","17","東北"
"吾妻山","37.7333333","140.2","5","東北"
"秋保溫泉","38.22737070000001","140.720222","5","東北"
"銀山溫泉","38.570404100000005","140.5304678","62","東北"
"立石寺","38.3118411","140.43485259999997","18","東北"
"五大堂","38.3697036","141.0641668","75","東北"
"藏王高原","38.1089967","140.46467109999998","8","東北"
"藏王纜車","38.1089967","140.46467109999998","14","東北"
"田澤湖","39.7168527","140.6544861","105","東北"
"函館朝市","41.772608500000004","140.725399","121","東北"
"函館山夜景","41.7591885","140.7040461","60","東北"
"弘前公園","40.6047838","140.4635994","42","東北"
"弘前城","40.6074516","140.4641804","98","東北"
"蘋果公園","40.5890754","140.442905","13","東北"
"盛岡城跡公園","39.6999503","141.150112","29","東北"
"毛越寺","38.988471000000004","141.107241","34","東北"
"中尊寺","39.001735499999995","141.102596","48","東北"
"平泉町","38.9866623","141.1138219","10","東北"
"金色堂","39.001363","141.099877","20","東北"
"陸奧","40.523177000000004","141.527582","45","東北"
"奧入瀨溪流","40.526098299999994","140.9742881","45","東北"
"瑞巖寺","38.372221100000004","141.0597324","24","東北"
"千秋公園","39.72195900000001","140.1237635","38","東北"
"武家屋敷","38.007721999999994","140.611349","113","東北"
"久保田城","39.7224843","140.1239421","19","東北"
"角館武家屋敷","39.5981205","140.5620668","29","東北"
"秋田內陸","39.743990000000004","140.59028899999998","47","東北"
"十二湖","40.5605219","139.98486450000001","36","東北"
"上杉神社","37.909301","140.104085","8","東北"
"觀光物產館","40.829640999999995","140.741043","17","東北"
"八甲田山","40.6563169","140.8936755","37","東北"
"奧入瀨溪","40.526098299999994","140.9742881","64","東北"
"乙女像","40.43297039999999","140.88973000000001","8","東北"
"酸湯溫泉","40.6506344","140.8504464","8","東北"
"青森睡魔","40.82962029999999","140.7359079","43","東北"
"鳴子峽","38.7351713","140.69036","43","東北"
"秋田縣立美術館","39.7174312","140.12152930000002","6","東北"
"安藤釀造","39.5906497","140.563716","12","東北"
"白神山","40.775265000000005","140.184561","32","東北"
"最上峽","38.7537526","140.0750619","4","東北"
"青柳家","39.6005343","140.5616909","21","東北"
"鳴子溫泉","38.7432842","140.7168278","34","東北"
"白石川堤","38.05003320000001","140.7384209","13","東北"
"最上川","38.606179600000004","140.09978669999998","26","東北"
"一番町","38.2641711","140.87103359999998","23","東北"
"鹽竈神社","38.318950799999996","141.0126496","7","東北"
"塩釜神社","38.318950799999996","141.0126496","3","東北"
"志波彥神社","38.318950799999996","141.0126496","2","東北"
"小岩井農場","39.75057460000001","141.01747450000002","15","東北"
"千疊敷","40.767741","140.054979","33","東北"
"蔦溫泉","40.596878499999995","140.9530593","10","東北"
"猊鼻溪","38.987703100000004","141.2612807","23","東北"
"五色沼","37.6520751","140.0784178","29","東北"
"豬苗代湖","37.4968398","140.0620321","12","東北"
"仙台空港","38.1397222","140.9169444","27","東北"
"三陸鐵道","40.189143","141.774013","19","東北"
"男鹿半島","39.915529","139.784545","15","東北"
"八幡平","39.9564765","141.071292","15","東北"
"盛岡城","39.6999503","141.150112","19","東北"
"八甲田纜車","40.6807149","140.8318126","5","東北"
"青森縣立美術館","40.8073424","140.7007501","9","東北"
"船岡城","38.055202799999996","140.75846940000002","8","東北"
